Block1,Block2,Unicode,ConTeXt name,Chart
2C00,2C5F,Glagolitic,glagolitic,U2C00.pdf
2C60,2C7F,Latin Extended-C,latinextendedc,U2C60.pdf
2C80,2CFF,Coptic,coptic,U2C80.pdf
2D00,2D2F,Georgian Supplement,georgiansupplement,U2D00.pdf
2D30,2D7F,Tifinagh,tifinagh,U2D30.pdf
2D80,2DDF,Ethiopic Extended,ethiopicextended,U2D80.pdf
2DE0,2DFF,Cyrillic Extended-A,cyrillicextendeda,U2DE0.pdf
2E00,2E7F,Supplemental Punctuation,supplementalpunctuation,U2E00.pdf
2E80,2EFF,CJK Radicals Supplement,cjkradicalssupplement,U2E80.pdf
2F00,2FDF,Kangxi Radicals,kangxiradicals,U2F00.pdf
2FF0,2FFF,Ideographic Description Characters,ideographicdescriptioncharacters,U2FF0.pdf
3000,303F,CJK Symbols and Punctuation,cjksymbolsandpunctuation,U3000.pdf
3040,309F,Hiragana,hiragana,U3040.pdf
30A0,30FF,Katakana,katakana,U30A0.pdf
3100,312F,Bopomofo,bopomofo,U3100.pdf
3130,318F,Hangul Compatibility Jamo,hangulcompatibilityjamo,U3130.pdf
3190,319F,Kanbun,kanbun,U3190.pdf
31A0,31BF,Bopomofo Extended,bopomofoextended,U31A0.pdf
31C0,31EF,CJK Strokes,cjkstrokes,U31C0.pdf
31F0,31FF,Katakana Phonetic Extensions,katakanaphoneticextensions,U31F0.pdf
3200,32FF,Enclosed CJK Letters and Months,enclosedcjklettersandmonths,U3200.pdf
3300,33FF,CJK Compatibility,cjkcompatibility,U3300.pdf
3400,4DBF,CJK Unified Ideographs Extension A,cjkunifiedideographsextensiona,U3400.pdf
4DC0,4DFF,Yijing Hexagram Symbols,yijinghexagramsymbols,U4DC0.pdf
4E00,9FFF,CJK Unified Ideographs,cjkunifiedideographs,U4E00.pdf
A000,A48F,Yi Syllables,yisyllables,UA000.pdf
A490,A4CF,Yi Radicals,yiradicals,UA490.pdf
A4D0,A4FF,Lisu,lisu,UA4D0.pdf
A500,A63F,Vai,vai,UA500.pdf
A640,A69F,Cyrillic Extended-B,cyrillicextendedb,UA640.pdf
A6A0,A6FF,Bamum,bamum,UA6A0.pdf
A700,A71F,Modifier Tone Letters,modifiertoneletters,UA700.pdf
A720,A7FF,Latin Extended-D,latinextendedd,UA720.pdf
A800,A82F,Syloti Nagri,sylotinagri,UA800.pdf
A830,A83F,Common Indic Number Forms,commonindicnumberforms,UA830.pdf
A840,A87F,Phags-pa,phagspa,UA840.pdf
A880,A8DF,Saurashtra,saurashtra,UA880.pdf
A8E0,A8FF,Devanagari Extended,devanagariextended,UA8E0.pdf
A900,A92F,Kayah Li,kayahli,UA900.pdf
A930,A95F,Rejang,rejang,UA930.pdf
A960,A97F,Hangul Jamo Extended-A,hanguljamoextendeda,UA960.pdf
A980,A9DF,Javanese,javanese,UA980.pdf
A9E0,A9FF,Myanmar Extended-B,myanmarextendedb,UA9E0.pdf
AA00,AA5F,Cham,cham,UAA00.pdf
AA60,AA7F,Myanmar Extended-A,myanmarextendeda,UAA60.pdf
AA80,AADF,Tai Viet,taiviet,UAA80.pdf
AAE0,AAFF,Meetei Mayek Extensions,meeteimayekextensions,UAAE0.pdf
AB00,AB2F,Ethiopic Extended-A,ethiopicextendeda,UAB00.pdf
AB30,AB6F,Latin Extended-E,latinextendede,UAB30.pdf
AB70,ABBF,Cherokee Supplement,cherokeesupplement,UAB70.pdf
ABC0,ABFF,Meetei Mayek,meeteimayek,UABC0.pdf
AC00,D7AF,Hangul Syllables,hangulsyllables,UAC00.pdf
D7B0,D7FF,Hangul Jamo Extended-B,hanguljamoextendedb,UD7B0.pdf
D800,DB7F,High Surrogates,highsurrogates,UD800.pdf
DB80,DBFF,High Private Use Surrogates,highprivateusesurrogates,UDB80.pdf
DC00,DFFF,Low Surrogates,lowsurrogates,UDC00.pdf
E000,F8FF,Private Use Area,privateusearea,UE000.pdf
F900,FAFF,CJK Compatibility Ideographs,cjkcompatibilityideographs,UF900.pdf
FB00,FB4F,Alphabetic Presentation Forms,alphabeticpresentationforms,UFB00.pdf
FB50,FDFF,Arabic Presentation Forms-A,arabicpresentationformsa,UFB50.pdf
FE00,FE0F,Variation Selectors,variationselectors,UFE00.pdf
FE10,FE1F,Vertical Forms,verticalforms,UFE10.pdf
FE20,FE2F,Combining Half Marks,combininghalfmarks,UFE20.pdf
FE30,FE4F,CJK Compatibility Forms,cjkcompatibilityforms,UFE30.pdf
FE50,FE6F,Small Form Variants,smallformvariants,UFE50.pdf
FE70,FEFF,Arabic Presentation Forms-B,arabicpresentationformsb,UFE70.pdf
FF00,FFEF,Halfwidth and Fullwidth Forms,halfwidthandfullwidthforms,UFF00.pdf
FFF0,FFFF,Specials,specials,UFFF0.pdf
10000,1007F,Linear B Syllabary,linearbsyllabary,U10000.pdf
10080,100FF,Linear B Ideograms,linearbideograms,U10080.pdf
10100,1013F,Aegean Numbers,aegeannumbers,U10100.pdf
10140,1018F,Ancient Greek Numbers,ancientgreeknumbers,U10140.pdf
10190,101CF,Ancient Symbols,ancientsymbols,U10190.pdf
101D0,101FF,Phaistos Disc,phaistosdisc,U101D0.pdf
10280,1029F,Lycian,lycian,U10280.pdf
102A0,102DF,Carian,carian,U102A0.pdf
102E0,102FF,Coptic Epact Numbers,copticepactnumbers,U102E0.pdf
10300,1032F,Old Italic,olditalic,U10300.pdf
10330,1034F,Gothic,gothic,U10330.pdf
10350,1037F,Old Permic,oldpermic,U10350.pdf
10380,1039F,Ugaritic,ugaritic,U10380.pdf
103A0,103DF,Old Persian,oldpersian,U103A0.pdf
10400,1044F,Deseret,deseret,U10400.pdf
10450,1047F,Shavian,shavian,U10450.pdf
10480,104AF,Osmanya,osmanya,U10480.pdf
104B0,104FF,Osage,osage,U104B0.pdf
10500,1052F,Elbasan,elbasan,U10500.pdf
10530,1056F,Caucasian Albanian,caucasianalbanian,U10530.pdf
10600,1077F,Linear A,lineara,U10600.pdf
10800,1083F,Cypriot Syllabary,cypriotsyllabary,U10800.pdf
10840,1085F,Imperial Aramaic,imperialaramaic,U10840.pdf
10860,1087F,Palmyrene,palmyrene,U10860.pdf
10880,108AF,Nabataean,nabataean,U10880.pdf
